insert into item values (id, type_id, x, y, player)
#1
insert into item values (1, 23, -12, 8, NULL);
insert into item values (2, 63, -12, 8, NULL);
insert into item values (3, 21, -12, 8, NULL);
insert into item values (4, 7, -12, 8, NULL);
insert into item values (5, 6, -12, 8, NULL);
insert into item values (6, 5, -12, 8, NULL);
insert into item values (7, 4, -12, 8, NULL);
insert into item values (8, 59, -12, 8, NULL);
insert into item values (9, 17, -12, 8, NULL);
insert into item values (10, 42, -12, 8, NULL);
insert into item values (11, 43, -12, 8, NULL);
insert into item values (12, 48, -12, 8, NULL);

#2
insert into item values (13, 23, -12, 7, NULL);
insert into item values (14, 41, -12, 7, NULL);
insert into item values (15, 14, -12, 7, NULL);
insert into item values (16, 9, -12, 7, NULL);
insert into item values (17, 21, -12, 7, NULL);

#3
insert into item values (18, 70, -10, 7, NULL);
insert into item values (19, 41, -10, 7, NULL);
insert into item values (20, 51, -10, 7, NULL);
insert into item values (21, 30, -10, 7, NULL);
insert into item values (22, 66, -10, 7, NULL);
insert into item values (23, 23, -10, 7, NULL);

#4
insert into item values (24, 52, -9, 7, NULL);
insert into item values (25, 35, -9, 7, NULL);
insert into item values (26, 45, -9, 7, NULL);
insert into item values (27, 46, -9, 7, NULL);
insert into item values (28, 67, -9, 7, NULL);
insert into item values (29, 48, -9, 7, NULL);

#5
insert into item values (30, 15, -11, -3, NULL);
insert into item values (31, 41, -11, -3, NULL);
insert into item values (32, 29, -11, -3, NULL);
insert into item values (33, 27, -11, -3, NULL);
insert into item values (34, 18, -11, -3, NULL);
insert into item values (35, 17, -11, -3, NULL);

#6
insert into item values (36, 26, -12, -5, NULL);
insert into item values (37, 41, -12, -5, NULL);
insert into item values (38, 47, -12, -5, NULL);
insert into item values (39, 35, -12, -5, NULL);
insert into item values (40, 62, -12, -5, NULL);
insert into item values (41, 45, -12, -5, NULL);
insert into item values (42, 44, -12, -5, NULL);
insert into item values (43, 71, -12, -5, NULL);



#7
insert into item values (44, 17, -10, -5, NULL);
insert into item values (45, 41, -10, -5, NULL);
insert into item values (46, 64, -10, -5, NULL);
insert into item values (47, 65, -10, -5, NULL);
insert into item values (48, 6, -10, -5, NULL);
insert into item values (49, 9, -10, -5, NULL);
insert into item values (50, 61, -10, -5, NULL);

#8
insert into item values (50, 3, -10, -6, NULL);
insert into item values (52, 2, -10, -6, NULL);
insert into item values (53, 9, -10, -6, NULL);
insert into item values (54, 1, -10, -6, NULL);
insert into item values (55, 22, -10, -6, NULL);
insert into item values (56, 43, -10, -6, NULL);
insert into item values (57, 41, -10, -6, NULL);
insert into item values (58, 72, -10, -6, NULL);


#9
